,FAKE_1,FAKE_10,FAKE_11,FAKE_12,FAKE_13,FAKE_14,FAKE_15,FAKE_2,FAKE_3,FAKE_4,FAKE_5,FAKE_6,FAKE_7,FAKE_8,FAKE_9,R1,REAL_1,REAL_10,REAL_11,REAL_12,REAL_13,REAL_14,REAL_15,REAL_2,REAL_3,REAL_4,REAL_5,REAL_6,REAL_7,REAL_8,REAL_9
FAKE_1,18,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,3,1,1,0,0,0,0,0,1,0,0,0,0,2,0
FAKE_10,2,18,0,0,4,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,1,0
FAKE_11,1,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
FAKE_12,0,0,0,30,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
FAKE_13,0,0,0,1,20,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3
FAKE_14,0,0,0,0,1,9,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FAKE_15,0,0,0,0,2,0,21,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,1,1,1
FAKE_2,0,3,0,0,0,0,0,17,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
FAKE_3,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
FAKE_4,0,0,0,0,2,0,0,0,0,19,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
FAKE_5,2,0,0,0,1,0,0,0,0,0,20,4,0,0,6,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2
FAKE_6,0,0,0,0,5,0,0,0,0,0,0,17,0,0,7,4,0,0,0,0,0,0,0,0,5,0,0,5,0,0,6
FAKE_7,0,0,0,0,1,0,0,0,0,0,2,0,14,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1
FAKE_8,0,0,0,0,2,0,0,0,0,0,0,0,0,23,0,1,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0
FAKE_9,0,0,0,0,0,0,0,0,0,0,0,2,2,0,22,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
R1,1,8,0,0,34,0,0,2,0,2,5,3,5,3,4,85,2,1,2,2,13,0,0,0,23,4,0,3,3,2,11
REAL_1,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0,0,2,0,0,0,0,0,14
REAL_10,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,2,8,19,0,0,0,0,0,0,3,0,0,0,0,0,10
REAL_11,1,0,1,0,2,0,0,0,0,0,0,0,0,0,0,1,1,0,37,3,0,0,0,0,4,0,0,1,0,0,20
REAL_12,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,6,0,0,30,0,0,0,0,1,0,0,0,0,1,7
REAL_13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,23,0,0,0,1,0,0,0,0,0,19
REAL_14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,37,0,1,0,0,0,0,0,0,0
REAL_15,0,0,0,0,2,0,0,0,1,0,0,0,0,1,2,0,0,0,0,2,0,0,20,0,0,0,0,2,1,0,8
REAL_2,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,22,3,1,0,0,0,0,10
REAL_3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,37,0,0,0,0,1,10
REAL_4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,2,0,0,1,0,0,0,0,5,14,1,0,0,1,22
REAL_5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,6,0,0,0,0,0,0,0,1,0,9,0,0,0,19
REAL_6,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,1,19
REAL_7,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,12,0,31
REAL_8,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,6,9
REAL_9,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,63
